,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
X,3,124,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,3,125,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,3,126,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,3,127,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,3,128,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,3,129,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,3,130,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,3,131,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,3,132,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,3,133,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,3,134,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,3,135,B,83,26,106,1,7,4,T,78,39,105,2,10,3
X,3,136,B,82,25,106,2,7,4,T,79,40,105,1,10,3
X,3,137,B,79,8,105,1,2,3,T,82,57,106,2,15,4
X,3,138,B,78,7,105,2,2,3,T,83,58,106,1,15,4
X,3,139,B,75,6,106,1,2,2,T,86,59,105,2,15,5
X,3,140,B,74,5,106,2,2,2,T,87,60,105,1,15,5
X,3,141,B,71,4,105,1,1,1,T,90,61,106,2,16,6
X,3,142,B,70,3,105,2,1,1,T,91,62,106,1,16,6
X,3,143,B,67,2,106,1,1,0,T,94,63,105,2,16,7
X,3,144,B,66,1,106,2,1,0,T,95,64,105,1,16,7
X,3,145,T,95,64,105,1,16,7,B,66,1,106,2,1,0
X,4,146,T,94,63,105,2,16,7,B,67,2,106,1,1,0
X,4,147,T,91,62,106,1,16,6,B,70,3,105,2,1,1
X,4,148,T,90,61,106,2,16,6,B,71,4,105,1,1,1
X,4,149,T,87,60,105,1,15,5,B,74,5,106,2,2,2
X,4,150,T,86,59,105,2,15,5,B,75,6,106,1,2,2
X,4,151,T,83,58,106,1,15,4,B,78,7,105,2,2,3
X,4,152,T,82,57,106,2,15,4,B,79,8,105,1,2,3
X,4,153,T,79,40,105,1,10,3,B,82,25,106,2,7,4
X,4,154,T,78,39,105,2,10,3,B,83,26,106,1,7,4
X,4,155,T,75,38,106,1,10,2,B,86,27,105,2,7,5
X,4,156,T,74,37,106,2,10,2,B,87,28,105,1,7,5
X,4,157,T,71,36,105,1,9,1,B,90,29,106,2,8,6
X,4,158,T,70,35,105,2,9,1,B,91,30,106,1,8,6
X,4,159,T,67,34,106,1,9,0,B,94,31,105,2,8,7
X,4,160,T,66,33,106,2,9,0,B,95,32,105,1,8,7
X,4,161,T,95,16,105,1,4,7,B,66,49,106,2,13,0
X,4,162,T,94,15,105,2,4,7,B,67,50,106,1,13,0
X,4,163,T,91,14,106,1,4,6,B,70,51,105,2,13,1
X,4,164,T,90,13,106,2,4,6,B,71,52,105,1,13,1
X,4,165,T,87,12,105,1,3,5,B,74,53,106,2,14,2
X,4,166,T,86,11,105,2,3,5,B,75,54,106,1,14,2
X,4,167,T,83,10,106,1,3,4,B,78,55,105,2,14,3
X,4,168,T,82,9,106,2,3,4,B,79,56,105,1,14,3
X,4,169,B,79,56,105,1,14,3,T,82,9,106,2,3,4
X,4,170,B,78,55,105,2,14,3,T,83,10,106,1,3,4
X,4,171,B,75,54,106,1,14,2,T,86,11,105,2,3,5
X,4,172,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,4,173,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,4,174,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,4,175,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,4,176,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,4,177,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,4,178,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,4,179,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,4,180,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,4,181,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,4,182,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,4,183,B,83,26,106,1,7,4,T,78,39,105,2,10,3
X,4,184,B,82,25,106,2,7,4,T,79,40,105,1,10,3
X,4,185,B,79,8,105,1,2,3,T,82,57,106,2,15,4
X,4,186,B,78,7,105,2,2,3,T,83,58,106,1,15,4
X,4,187,B,75,6,106,1,2,2,T,86,59,105,2,15,5
X,4,188,B,74,5,106,2,2,2,T,87,60,105,1,15,5
X,4,189,B,71,4,105,1,1,1,T,90,61,106,2,16,6
X,4,190,B,70,3,105,2,1,1,T,91,62,106,1,16,6
X,4,191,B,67,2,106,1,1,0,T,94,63,105,2,16,7
X,4,192,B,66,1,106,2,1,0,T,95,64,105,1,16,7
X,4,193,T,95,64,105,1,16,7,B,66,1,106,2,1,0
X,5,194,T,94,63,105,2,16,7,B,67,2,106,1,1,0
X,5,195,T,91,62,106,1,16,6,B,70,3,105,2,1,1
X,5,196,T,90,61,106,2,16,6,B,71,4,105,1,1,1
X,5,197,T,87,60,105,1,15,5,B,74,5,106,2,2,2
X,5,198,T,86,59,105,2,15,5,B,75,6,106,1,2,2
X,5,199,T,83,58,106,1,15,4,B,78,7,105,2,2,3
X,5,200,T,82,57,106,2,15,4,B,79,8,105,1,2,3
X,5,201,T,79,40,105,1,10,3,B,82,25,106,2,7,4
X,5,202,T,78,39,105,2,10,3,B,83,26,106,1,7,4
X,5,203,T,75,38,106,1,10,2,B,86,27,105,2,7,5
X,5,204,T,74,37,106,2,10,2,B,87,28,105,1,7,5
X,5,205,T,71,36,105,1,9,1,B,90,29,106,2,8,6
X,5,206,T,70,35,105,2,9,1,B,91,30,106,1,8,6
X,5,207,T,67,34,106,1,9,0,B,94,31,105,2,8,7
X,5,208,T,66,33,106,2,9,0,B,95,32,105,1,8,7
X,5,209,T,95,16,105,1,4,7,B,66,49,106,2,13,0
X,5,210,T,94,15,105,2,4,7,B,67,50,106,1,13,0
X,5,211,T,91,14,106,1,4,6,B,70,51,105,2,13,1
X,5,212,T,90,13,106,2,4,6,B,71,52,105,1,13,1
X,5,213,T,87,12,105,1,3,5,B,74,53,106,2,14,2
X,5,214,T,86,11,105,2,3,5,B,75,54,106,1,14,2
X,5,215,T,83,10,106,1,3,4,B,78,55,105,2,14,3
X,5,216,T,82,9,106,2,3,4,B,79,56,105,1,14,3
X,5,217,B,79,56,105,1,14,3,T,82,9,106,2,3,4
X,5,218,B,78,55,105,2,14,3,T,83,10,106,1,3,4
X,5,219,B,75,54,106,1,14,2,T,86,11,105,2,3,5
X,5,220,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,5,221,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,5,222,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,5,223,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,5,224,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,5,225,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,5,226,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,5,227,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,5,228,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,5,229,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,5,230,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,5,231,B,83,26,106,1,7,4,T,78,39,105,2,10,3
X,5,232,B,82,25,106,2,7,4,T,79,40,105,1,10,3
X,5,233,B,79,8,105,1,2,3,T,82,57,106,2,15,4
X,5,234,B,78,7,105,2,2,3,T,83,58,106,1,15,4
X,5,235,B,75,6,106,1,2,2,T,86,59,105,2,15,5
X,5,236,B,74,5,106,2,2,2,T,87,60,105,1,15,5
X,5,237,B,71,4,105,1,1,1,T,90,61,106,2,16,6
X,5,238,B,70,3,105,2,1,1,T,91,62,106,1,16,6
X,5,239,B,67,2,106,1,1,0,T,94,63,105,2,16,7
X,5,240,B,66,1,106,2,1,0,T,95,64,105,1,16,7
X,5,241,T,95,64,105,1,16,7,B,66,1,106,2,1,0
X,6,242,T,94,63,105,2,16,7,B,67,2,106,1,1,0
X,6,243,T,91,62,106,1,16,6,B,70,3,105,2,1,1
X,6,244,T,90,61,106,2,16,6,B,71,4,105,1,1,1
X,6,245,T,87,60,105,1,15,5,B,74,5,106,2,2,2
X,6,246,T,86,59,105,2,15,5,B,75,6,106,1,2,2
X,6,247,T,83,58,106,1,15,4,B,78,7,105,2,2,3
X,6,248,T,82,57,106,2,15,4,B,79,8,105,1,2,3
X,6,249,T,79,40,105,1,10,3,B,82,25,106,2,7,4
X,6,250,T,78,39,105,2,10,3,B,83,26,106,1,7,4
X,6,251,T,75,38,106,1,10,2,B,86,27,105,2,7,5
X,6,252,T,74,37,106,2,10,2,B,87,28,105,1,7,5
X,6,253,T,71,36,105,1,9,1,B,90,29,106,2,8,6
X,6,254,T,70,35,105,2,9,1,B,91,30,106,1,8,6
X,6,255,T,67,34,106,1,9,0,B,94,31,105,2,8,7
X,6,256,T,66,33,106,2,9,0,B,95,32,105,1,8,7
X,6,257,T,95,16,105,1,4,7,B,66,49,106,2,13,0
X,6,258,T,94,15,105,2,4,7,B,67,50,106,1,13,0
X,6,259,T,91,14,106,1,4,6,B,70,51,105,2,13,1
X,6,260,T,90,13,106,2,4,6,B,71,52,105,1,13,1
X,6,261,T,87,12,105,1,3,5,B,74,53,106,2,14,2
X,6,262,T,86,11,105,2,3,5,B,75,54,106,1,14,2
X,6,263,T,83,10,106,1,3,4,B,78,55,105,2,14,3
X,6,264,T,82,9,106,2,3,4,B,79,56,105,1,14,3
X,6,265,B,79,56,105,1,14,3,T,82,9,106,2,3,4
X,6,266,B,78,55,105,2,14,3,T,83,10,106,1,3,4
X,6,267,B,75,54,106,1,14,2,T,86,11,105,2,3,5
X,6,268,B,74,53,106,2,14,2,T,87,12,105,1,3,5
X,6,269,B,71,52,105,1,13,1,T,90,13,106,2,4,6
X,6,270,B,70,51,105,2,13,1,T,91,14,106,1,4,6
X,6,271,B,67,50,106,1,13,0,T,94,15,105,2,4,7
X,6,272,B,66,49,106,2,13,0,T,95,16,105,1,4,7
X,6,273,B,95,32,105,1,8,7,T,66,33,106,2,9,0
X,6,274,B,94,31,105,2,8,7,T,67,34,106,1,9,0
X,6,275,B,91,30,106,1,8,6,T,70,35,105,2,9,1
X,6,276,B,90,29,106,2,8,6,T,71,36,105,1,9,1
X,6,277,B,87,28,105,1,7,5,T,74,37,106,2,10,2
X,6,278,B,86,27,105,2,7,5,T,75,38,106,1,10,2
X,6,279,B,83,26,106,1,7,4,T,78,39,105,2,10,3
