,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,9,391,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,9,392,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,9,393,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,9,394,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,9,395,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,9,396,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,9,397,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,9,398,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,9,399,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,9,400,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,9,401,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,9,402,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,9,403,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,9,404,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,9,405,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,9,406,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,9,407,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,9,408,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,9,409,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,9,410,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,9,411,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,9,412,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,9,413,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,9,414,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,9,415,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,9,416,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,9,417,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,9,418,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,9,419,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,9,420,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,9,421,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,9,422,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,9,423,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,9,424,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,9,425,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,9,426,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,9,427,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,9,428,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,9,429,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,9,430,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,9,431,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,9,432,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,9,433,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,10,434,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,10,435,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,10,436,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,10,437,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,10,438,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,10,439,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,10,440,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,10,441,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,10,442,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,10,443,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,10,444,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,10,445,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,10,446,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,10,447,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,10,448,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,10,449,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,10,450,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,10,451,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,10,452,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,10,453,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,10,454,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,10,455,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,10,456,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,10,457,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,10,458,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,10,459,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,10,460,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,10,461,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,10,462,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,10,463,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,10,464,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,10,465,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,10,466,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,10,467,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,10,468,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,10,469,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,10,470,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,10,471,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,10,472,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,10,473,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,10,474,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,10,475,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,10,476,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,10,477,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,10,478,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,10,479,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,10,480,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,10,481,B,68,1,106,2,1,0,T,95,64,105,1,16,7
