,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
V,3,91,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,3,92,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,3,93,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,3,94,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,3,95,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,3,96,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,3,97,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,3,98,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,3,99,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,3,100,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,3,101,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,3,102,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,3,103,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,3,104,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,3,105,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,3,106,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,3,107,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,3,108,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,3,109,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,3,110,B,70,35,105,2,9,1,T,91,30,106,1,8,6
V,3,111,B,67,34,106,1,9,0,T,94,31,105,2,8,7
V,3,112,B,66,33,106,2,9,0,T,95,32,105,1,8,7
V,3,113,B,95,16,105,1,4,7,T,66,49,106,2,13,0
V,3,114,B,94,15,105,2,4,7,T,67,50,106,1,13,0
V,3,115,B,91,14,106,1,4,6,T,70,51,105,2,13,1
V,3,116,B,90,13,106,2,4,6,T,71,52,105,1,13,1
V,3,117,B,87,12,105,1,3,5,T,74,53,106,2,14,2
V,3,118,B,86,11,105,2,3,5,T,75,54,106,1,14,2
V,3,119,B,83,10,106,1,3,4,T,78,55,105,2,14,3
V,3,120,B,82,9,106,2,3,4,T,79,56,105,1,14,3
V,4,121,T,95,48,105,1,12,7,B,66,17,106,2,5,0
V,4,122,T,94,47,105,2,12,7,B,67,18,106,1,5,0
V,4,123,T,91,46,106,1,12,6,B,70,19,105,2,5,1
V,4,124,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,4,125,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,4,126,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,4,127,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,4,128,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,4,129,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,4,130,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,4,131,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,4,132,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,4,133,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,4,134,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,4,135,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,4,136,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,4,137,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,4,138,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,4,139,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,4,140,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,4,141,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,4,142,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,4,143,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,4,144,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,4,145,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,4,146,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,4,147,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,4,148,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,4,149,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,4,150,B,70,35,105,2,9,1,T,91,30,106,1,8,6
V,4,151,B,67,34,106,1,9,0,T,94,31,105,2,8,7
V,4,152,B,66,33,106,2,9,0,T,95,32,105,1,8,7
