169.1266	166.5955	168.6424	168.4157
169.7324	168.6252	168.7435	168.2417
167.9807	167.51	168.5736	168.8873
170.6958	169.337	168.9731	168.2033
168.1018	167.857	166.8085	167.4903
168.3539	169.2	169.2204	167.4007
168.0541	167.7217	167.0134	169.2936
170.4247	169.233	168.7536	168.5533
167.2083	167.0529	169.233	167.8717
170.6943	169.7392	168.4717	168.4178
168.5739	168.0525	168.0796	168.2191
170.7195	169.2404	168.6855	168.7326
166.4411	168.5144	168.1522	168.0181
170.3829	169.2332	169.2637	165.644
169.1376	167.7036	168.1411	169.5128
170.9426	167.8001	170.0125	167.598
