114.7683	113.64406	113.2012	114.5559
116.8635	115.86716	114.4275	114.2964
114.9888	114.99866	114.6049	114.4629
117.169	116.04296	114.8471	114.7729
113.874	113.56636	114.0033	114.7108
116.5796	115.38246	111.4984	114.5908
114.2103	113.06126	113.3459	114.3422
116.693	115.87326	114.9056	114.7485
110.2989	114.90566	113.8534	114.3869
116.7366	115.73756	114.8596	114.6212
114.4233	114.52036	112.9115	114.706
116.7492	115.49446	113.1754	114.7602
114.7205	114.06916	114.2508	114.3312
116.9914	114.53076	114.7891	115.3337
114.6477	114.41416	114.4347	114.7084
117.4042	115.96376	115.8333	114.5678
