238.4752	242.0044	241.6641	243.1059
245.0769	243.6737	244.5372	244.0935
236.5665	242.6295	241.5963	242.1614
242.7207	243.2058	238.4433	235.1139
239.7997	239.5591	241.6913	241.8509
245.8561	244.4226	243.7712	243.5737
243.5183	241.1743	243.1251	242.7454
245.6982	245.0413	244.4781	244.0342
241.7339	241.0225	241.2073	241.3208
244.6484	245.979	244.2218	236.955
243.4986	242.9126	241.0093	242.0869
243.6451	241.9136	241.7796	238.2036
243.0139	237.5329	241.9729	243.7429
245.2277	238.4895	242.6305	243.3622
242.8244	242.2318	243.0407	243.5178
245.0083	236.8251	243.2088	236.6492
