Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
888,888,0,1,ff8b,10
889,889,0,1,ff81,10
890,890,0,1,ff5b,10
891,891,0,1,ff5f,10
892,892,0,1,ff5e,10
893,893,0,1,ff57,10
894,894,0,1,ff51,10
895,895,0,1,ff29,10
896,896,0,1,ff29,10
897,897,0,1,ff27,10
898,898,0,1,ff04,10
899,899,0,1,ff0f,10
900,900,0,1,fef0,10
901,901,0,1,fefa,10
902,902,0,1,fef8,10
903,903,0,1,fed7,10
904,904,0,1,fed9,10
905,905,0,1,fed0,10
906,906,0,1,fec7,10
907,907,0,1,feb7,10
908,908,0,1,fea4,10
909,909,0,1,feaa,10
910,910,0,1,fea7,10
911,911,0,1,fead,10
912,912,0,1,fea4,10
913,913,0,1,fe93,10
914,914,0,1,fe8c,10
915,915,0,1,fe9c,10
916,916,0,1,fe74,10
917,917,0,1,fe71,10
918,918,0,1,fe7e,10
919,919,0,1,fe8b,10
920,920,0,1,fe73,10
921,921,0,1,fe71,10
922,922,0,1,fe64,10
923,923,0,1,fe53,10
924,924,0,1,fe76,18
925,925,0,1,fe5f,18
926,926,0,1,fe67,18
927,927,0,1,fe4d,18
928,928,0,1,fe6d,18
929,929,0,1,fe54,18
930,930,0,1,fe49,18
931,931,0,1,fe5b,18
932,932,0,1,fe50,18
933,933,0,1,fe49,18
934,934,0,1,fe54,18
935,935,0,1,fe48,18
936,936,0,1,fe39,18
937,937,0,1,fe52,18
938,938,0,1,fe55,18
939,939,0,1,fe4d,18
940,940,0,1,fe57,18
941,941,0,1,fe4e,18
942,942,0,1,fe42,18
943,943,0,1,fe64,18
944,944,0,1,fe4d,18
945,945,0,1,fe53,18
946,946,0,1,fe5b,18
947,947,0,1,fe42,18
948,948,0,1,fe52,18
949,949,0,1,fe56,18
950,950,0,1,fe51,18
951,951,0,1,fe67,18
952,952,0,1,fe61,18
953,953,0,1,fe5e,18
954,954,0,1,fe75,18
955,955,0,1,fe7f,18
956,956,0,1,fe84,18
957,957,0,1,fe71,18
958,958,0,1,fe80,18
959,959,0,1,fe7f,18
960,960,0,1,fe71,18
961,961,0,1,fe77,18
962,962,0,1,fe9f,18
963,963,0,1,fe92,18
964,964,0,1,fe99,18
965,965,0,1,feaa,18
966,966,0,1,feb4,18
967,967,0,1,feab,18
968,968,0,1,feac,18
969,969,0,1,fea7,18
970,970,0,1,fecb,18
971,971,0,1,feb8,18
972,972,0,1,fed3,18
973,973,0,1,feb9,18
974,974,0,1,fed9,18
975,975,0,1,fee2,18
976,976,0,1,fee9,18
977,977,0,1,fee1,18
978,978,0,1,feeb,18
979,979,0,1,feee,18
980,980,0,1,fef0,18
981,981,0,1,fef9,18
982,982,0,1,ff28,18
983,983,0,1,fefd,18
984,984,0,1,ff21,18
985,985,0,1,ff17,18
986,986,0,1,ff3c,18
987,987,0,1,ff2b,18
988,988,0,1,ff33,18
989,989,0,1,ff41,18
990,990,0,1,ff5d,18
991,991,0,1,ff63,18
992,992,0,1,ff67,18
993,993,0,1,ff59,18
994,994,0,1,ff7f,18
995,995,0,1,ff7b,18
996,996,0,1,ff79,18
997,997,0,1,ff9b,18
998,998,0,1,ff9f,18
999,999,0,1,ffbd,18
